age,gender,spending_score,membership_years,purchase_frequency,preferred_category,last_purchase_amount,Cluster,Cluster_Description
38,Female,90,3,24,Groceries,113.53,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
21,Female,60,2,42,Sports,41.93,1,Khách hàng thông thường - Chi tiêu trung bình
60,Female,30,2,28,Clothing,424.36,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
40,Other,74,9,5,Home & Garden,991.93,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
65,Female,21,3,25,Electronics,347.08,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
31,Other,24,3,30,Home & Garden,86.85,1,Khách hàng thông thường - Chi tiêu trung bình
19,Other,68,5,43,Clothing,191.72,0,Khách hàng thông thường - Chi tiêu trung bình
43,Male,94,9,27,Groceries,734.56,0,Khách hàng thông thường - Chi tiêu trung bình
53,Male,29,6,7,Sports,951.71,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
55,Female,55,7,2,Electronics,821.18,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
23,Other,16,7,24,Clothing,434.97,0,Khách hàng thông thường - Chi tiêu trung bình
68,Other,91,1,49,Groceries,889.94,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
29,Female,81,3,27,Home & Garden,101.07,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
64,Other,46,4,3,Sports,221.35,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
33,Male,17,5,8,Home & Garden,915.89,1,Khách hàng thông thường - Chi tiêu trung bình
53,Male,17,6,26,Clothing,225.4,0,Khách hàng thông thường - Chi tiêu trung bình
57,Male,29,5,13,Clothing,378.47,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
22,Male,22,1,31,Sports,844.08,1,Khách hàng thông thường - Chi tiêu trung bình
37,Male,90,6,21,Home & Garden,454.83,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
31,Male,70,3,17,Groceries,61.3,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
19,Female,13,4,4,Home & Garden,742.39,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
22,Male,74,10,47,Home & Garden,799.31,0,Khách hàng thông thường - Chi tiêu trung bình
36,Other,68,1,16,Sports,806.55,1,Khách hàng thông thường - Chi tiêu trung bình
41,Other,87,7,9,Clothing,482.2,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
69,Female,78,5,39,Sports,508.86,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
33,Other,60,10,39,Groceries,83.27,0,Khách hàng thông thường - Chi tiêu trung bình
54,Male,10,9,4,Groceries,124.29,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
30,Female,19,7,27,Sports,515.88,1,Khách hàng thông thường - Chi tiêu trung bình
18,Female,78,7,1,Home & Garden,191.9,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
23,Male,30,4,20,Electronics,950.56,1,Khách hàng thông thường - Chi tiêu trung bình
